,"Abbott, H. Porter","Adorno, Theodor W.","Agamben, Giorgio","Althusser, Louis","Anderson, Benedict R. O'G.","Bachelard, Gaston","Badiou, Alain","Bal, Mieke","Balibar, Étienne","Barthes, Roland","Bataille, Georges","Baudelaire, Charles Pierre","Baudrillard, Jean","Bauman, Zygmunt","Beauvoir, Simone de","Beck, Ulrich","Benjamin, Walter","Bergson, Henri","Bhabha, Homi K.","Blanchot, Maurice","Booth, Wayne C.","Bourdieu, Pierre","Braidotti, Rosi","Brooks, Peter","Butler, Judith","Chatman, Seymour Benjamin","Culler, Jonathan D.","Deleuze, Gilles","Derrida, Jacques","Eagleton, Terry","Eco, Umberto","Eliade, Mircea","Eliot, Thomas Stearns","Fanon, Frantz","Foucault, Michel","Freud, Sigmund","Frye, Northrop","Genette, Gerard","Giddens, Anthony","Girard, René","Goldmann, Lucien","Gramsci, Antonio","Greimas, Algirdas Julien","Hall, Stuart","Haraway, Donna J.","Hegel, Georg Wilhelm Friedrich","Heidegger, Martin","Hobsbawm, Eric John","Hutcheon, Linda","Jameson, Fredric","Kant, Immanuel","Kierkegaard, Søren","Kristeva, Julia","Kropotkin, Petr Alekseevich","Lacan, Jacques","Lakoff, George","Latour, Bruno","Lefèbvre, Henri","Levinas, Emmanuel","Lukács, Georg","Lyotard, Jean-Francois","Marcuse, Herbert","Marx, Karl","McLuhan, Herbert Marshall","Merleau-Ponty, Maurice","Moretti, Franco","Nancy, Jean-Luc","Negri, Antonio","Nietzsche, Friedrich","Nussbaum, Martha Craven","Ong, Walter J.","Prince, Gerald","Rancière, Jacques","Ricoeur, Paul","Rimmon-Kenan, Shlomith","Said, Edward","Sartre, Jean Paul","Simmel, Georg","Sontag, Susan","Spinoza, Baruch De","Spivak, Gayatri Chakravorty","Stanzel, Franz Karl","Taylor, Charles","Virilio, Paul","Wellek, René","Žižek, Slavoj",大村益夫,白川豊,가라타니 고진,고모리 요이치,루쉰,사에구사 도시카쓰,사카이 나오키,아리스토텔레스,아즈마 히로키,와다 하루키,요시미 순야,우에노 치즈코,플라톤,한나 아렌트
"Latour, Bruno",0,0,4,0,0,0,1,0,2,0,0,0,0,1,0,2,2,0,0,0,0,1,1,0,1,0,0,4,3,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,1,0,1,0,0,3,2,1,0,0,1,0,0,0,0,1,1,0,2,1,0,2,1,1,0,1,0,0,0,1,0,0,0,5,1,1,0,0,1,0,0,9,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"Lefèbvre, Henri",0,5,2,0,4,5,1,0,0,4,1,1,5,5,0,0,13,0,1,4,0,2,1,1,2,1,0,10,2,2,0,2,0,1,8,1,0,1,2,3,1,2,0,4,0,0,7,1,1,8,0,0,1,2,3,1,0,0,0,2,0,1,3,0,3,6,1,3,2,1,0,0,1,2,1,1,0,3,4,0,2,0,1,1,1,6,0,0,4,0,0,0,0,0,2,0,2,0,0,2
"Levinas, Emmanuel",0,2,9,1,3,0,8,0,1,2,2,1,0,1,0,0,6,2,2,2,0,1,1,0,3,2,0,17,11,1,0,2,0,2,6,11,1,1,0,0,1,1,0,1,0,2,7,0,0,2,6,2,4,0,10,0,0,0,0,3,1,0,2,0,3,1,2,2,3,1,0,0,5,1,0,0,2,2,0,1,2,1,0,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,1
"Lukács, Georg",3,8,6,1,0,3,3,0,0,7,4,1,3,5,0,0,12,1,0,2,6,2,0,9,2,7,3,11,4,6,3,4,1,0,19,6,9,6,1,4,13,1,1,0,0,9,5,2,4,9,5,0,3,0,5,0,1,2,3,0,0,4,16,0,2,15,1,1,1,1,1,1,8,1,1,0,5,3,2,0,2,2,0,0,3,18,0,1,13,0,1,0,1,8,2,0,0,0,1,2
"Lyotard, Jean-Francois",0,1,0,1,1,0,0,0,0,1,1,1,5,1,0,0,2,1,0,0,0,0,0,1,1,0,0,4,5,0,0,0,1,0,3,0,1,0,0,0,0,1,0,0,1,1,7,0,0,5,9,0,2,0,2,0,1,0,1,0,0,1,0,0,0,0,8,2,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,5,0,0,4,0,0,0,0,3,0,0,0,0,1,0
"Marcuse, Herbert",0,5,2,1,0,2,1,0,0,0,2,0,4,0,0,2,6,1,0,0,0,1,0,0,1,0,0,3,3,1,1,0,0,0,10,4,0,0,4,4,4,0,0,0,0,2,1,1,0,4,1,0,1,0,3,0,0,1,0,4,1,0,2,0,1,1,0,1,3,0,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,1,1,0,0,0,0
"Marx, Karl",0,1,11,6,4,0,7,0,3,6,1,5,2,3,0,1,25,2,2,1,0,2,0,1,1,0,1,9,13,4,1,1,2,2,14,6,2,0,1,0,1,2,1,2,2,6,10,4,0,13,6,0,2,1,5,0,2,3,2,16,0,2,0,0,0,7,3,7,2,3,0,0,8,0,0,1,4,9,2,1,5,0,1,0,0,15,0,2,10,1,0,0,2,1,1,1,0,1,2,4
"McLuhan, Herbert Marshall",0,0,1,0,3,0,0,0,0,2,0,0,4,0,0,0,3,0,0,0,0,12,1,0,0,1,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
"Merleau-Ponty, Maurice",0,2,2,0,0,3,2,0,2,5,1,0,1,1,0,0,4,1,2,4,0,0,0,2,1,1,0,5,4,0,1,1,1,2,4,5,0,0,0,1,0,0,1,0,0,4,9,0,0,0,0,0,2,1,3,2,0,3,3,2,0,1,0,0,0,0,2,0,1,0,1,0,2,0,1,0,1,0,0,1,0,0,0,0,0,4,0,0,6,0,0,0,0,1,1,0,1,0,0,0
"Moretti, Franco",3,2,5,0,5,1,3,0,2,1,0,2,1,2,0,2,19,1,0,1,3,3,0,7,3,4,1,7,4,5,0,0,1,2,7,5,1,2,1,1,0,0,0,0,2,8,2,1,2,24,1,0,1,0,1,1,2,6,1,15,0,1,7,0,0,0,1,1,1,2,2,0,4,3,0,1,2,9,2,1,1,1,7,1,3,11,1,0,19,0,0,3,3,2,0,0,1,0,0,0
"Nancy, Jean-Luc",1,1,7,2,0,0,3,1,3,2,0,1,0,1,0,0,8,0,1,10,0,0,0,1,4,0,0,4,5,0,0,0,0,0,2,4,0,0,2,1,1,0,0,0,0,0,8,0,0,2,8,0,1,0,5,0,1,1,2,1,8,0,3,0,2,1,0,2,2,1,0,0,5,0,0,2,0,0,0,0,2,0,0,0,0,12,0,0,7,0,0,0,4,3,0,0,0,1,1,1
"Negri, Antonio",0,2,14,2,7,0,3,0,5,0,1,0,2,3,0,0,8,2,2,2,1,7,0,0,4,0,0,15,7,3,0,1,0,2,11,4,0,0,0,0,0,3,0,0,3,0,1,1,0,3,2,0,3,0,2,1,1,3,2,1,2,1,7,0,0,1,2,0,1,2,0,0,7,0,0,0,0,2,2,2,4,0,0,2,0,6,0,0,6,1,0,0,1,2,0,0,0,0,0,2
"Nietzsche, Friedrich",1,0,3,0,2,1,2,1,0,3,4,2,0,0,1,0,10,1,1,0,1,0,0,1,0,1,2,16,6,1,0,1,3,1,8,6,2,3,0,0,1,0,0,0,0,3,7,1,1,2,7,0,0,0,4,2,0,2,3,1,0,3,2,0,1,1,2,1,0,2,0,0,1,5,0,1,0,2,0,1,1,0,0,0,1,8,1,0,5,0,1,1,0,4,1,0,0,0,2,3
"Nussbaum, Martha Craven",0,0,5,1,2,0,2,0,0,1,0,1,0,1,0,1,6,2,0,1,2,0,1,1,4,0,0,6,3,3,0,0,0,0,5,4,0,0,0,1,1,0,0,0,1,1,1,0,0,2,0,0,4,0,0,0,1,1,1,1,0,0,3,0,0,2,1,2,2,0,1,0,3,0,0,0,3,0,3,0,1,0,3,1,0,6,0,0,2,0,0,0,0,2,1,0,0,1,0,2
"Ong, Walter J.",1,2,2,0,0,2,0,0,0,1,1,0,4,1,0,0,9,1,0,0,1,8,0,0,0,1,1,3,3,3,3,1,1,0,4,2,1,1,0,3,1,0,0,0,0,1,0,1,1,0,1,0,1,0,2,1,0,0,0,1,0,1,0,10,1,2,0,0,0,1,0,0,0,1,0,0,1,2,1,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,1,0,1,0
"Prince, Gerald",3,0,1,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,6,0,0,1,0,12,1,0,0,0,1,0,0,0,1,0,1,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
"Rancière, Jacques",2,7,22,5,9,0,16,0,3,6,1,0,1,10,1,1,25,2,5,4,0,7,0,0,4,1,1,18,9,6,0,3,0,1,17,9,0,1,1,2,1,2,0,0,1,2,2,2,1,6,2,0,2,0,7,0,0,1,5,8,1,4,8,4,2,4,5,7,1,3,0,0,0,1,0,2,3,2,1,1,2,1,1,3,0,15,0,0,11,1,0,0,4,2,4,1,0,0,2,4
"Ricoeur, Paul",3,4,3,2,1,0,3,4,0,3,2,0,2,0,0,0,12,1,1,3,5,3,0,3,1,12,1,8,5,3,1,2,0,2,9,3,0,7,3,1,2,0,1,0,0,1,5,1,0,2,3,0,2,0,3,7,1,2,1,1,0,0,0,0,0,3,0,0,5,0,1,1,1,0,7,0,2,0,0,0,0,1,1,0,0,6,0,0,1,0,0,0,1,2,1,0,0,0,0,2
"Rimmon-Kenan, Shlomith",3,1,0,1,0,1,0,6,0,4,0,0,0,0,0,0,2,0,0,0,10,0,0,2,0,18,1,1,0,0,2,0,0,0,6,2,0,14,0,1,0,0,0,0,0,0,1,0,1,2,0,0,2,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,9,0,7,0,0,1,0,0,0,0,10,0,0,0,4,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"Said, Edward",0,0,1,2,0,0,0,0,2,1,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,2,1,0,0,1,0,0,1,0,3,0,0,2,0,0,2,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,2,0,1,0,0,0,2,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Sartre, Jean Paul",2,0,1,2,1,0,3,0,0,6,1,0,1,0,0,0,7,0,2,0,0,1,0,0,0,1,3,9,4,3,2,0,1,1,8,2,1,0,0,0,0,1,1,1,0,1,6,0,1,2,4,0,1,0,2,0,0,0,2,5,1,0,4,0,1,2,0,0,0,3,1,0,3,2,1,0,0,0,0,0,0,0,2,0,3,7,0,0,5,1,0,0,0,2,1,0,0,1,0,3
"Simmel, Georg",0,1,7,0,2,1,2,0,2,2,1,4,6,4,0,2,19,0,0,1,0,9,0,1,1,0,1,5,2,2,1,1,0,0,6,3,2,0,6,1,2,0,0,1,0,1,1,0,0,5,1,0,1,0,8,3,5,3,2,3,1,2,9,0,0,9,0,2,2,0,2,0,2,0,0,0,0,0,2,1,2,1,3,0,0,9,0,0,5,0,1,0,0,1,0,1,0,0,0,0
"Sontag, Susan",1,1,8,0,0,1,0,0,0,7,0,0,1,5,0,1,10,1,1,1,0,0,0,2,3,2,0,2,2,4,2,1,0,1,5,7,0,2,0,1,0,1,0,1,1,0,3,1,0,3,0,0,2,0,1,0,1,4,0,2,0,0,2,1,0,2,0,2,0,3,1,0,1,0,0,0,0,2,0,0,3,0,0,4,0,5,0,0,3,0,0,0,1,2,1,0,0,0,0,1
"Spinoza, Baruch De",0,0,3,0,0,1,2,0,2,1,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,1,0,14,1,2,0,1,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,1,0,1,0,0,0,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,1,2
"Spivak, Gayatri Chakravorty",0,1,4,2,2,0,2,0,1,1,0,0,0,2,0,0,2,0,7,1,0,3,0,0,2,0,1,4,3,5,0,0,0,5,4,0,0,0,0,0,0,8,0,2,0,0,1,1,1,4,1,0,0,0,3,0,0,2,2,2,1,0,5,0,0,1,2,4,1,1,0,0,2,0,0,4,0,2,3,0,0,0,0,0,0,5,0,0,4,0,0,0,1,0,0,0,0,0,0,2
"Stanzel, Franz Karl",2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,2,0,12,0,0,0,0,2,0,0,0,3,1,1,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,4,1,1,10,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Taylor, Charles",0,2,1,1,2,0,1,0,1,0,0,1,1,2,0,0,4,0,0,0,0,2,0,2,0,0,0,1,2,2,0,2,0,1,4,2,1,0,4,0,1,1,0,3,0,2,2,0,0,0,2,0,2,0,1,0,1,1,0,0,0,0,1,0,0,7,0,0,0,3,0,0,1,1,0,1,2,3,0,0,0,0,0,0,0,1,1,0,6,0,1,0,0,1,1,0,0,0,0,1
"Virilio, Paul",0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,7,1,1,0,0,0,0,0,1,2,0,4,2,2,0,0,0,0,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,0,1,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Wellek, René",0,2,0,0,1,4,0,2,0,1,1,0,0,0,0,1,3,1,0,0,0,0,0,2,0,3,3,2,1,4,0,0,4,0,1,0,5,2,2,1,2,0,1,0,0,1,0,1,0,3,1,0,2,0,1,0,0,1,0,3,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Žižek, Slavoj",4,13,33,11,7,1,32,2,4,13,7,2,6,7,0,2,32,3,9,6,6,8,0,9,10,5,1,39,22,20,2,3,1,5,46,56,2,2,2,9,0,3,0,5,2,11,14,4,3,22,21,2,10,0,55,2,9,6,8,18,5,5,15,0,4,11,12,6,8,6,1,0,15,6,4,1,7,9,5,1,5,0,1,2,2,0,2,0,20,1,1,0,0,4,4,1,0,3,3,8
大村益夫,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,1,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,3,1,1,1,2,0,0,0,0,0,0,0,0
白川豊,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0
가라타니 고진,2,4,12,0,11,2,8,1,4,5,2,2,4,0,1,1,31,2,8,5,0,4,0,1,9,3,0,11,8,13,0,0,1,3,28,11,6,2,3,0,2,1,0,1,0,6,7,6,3,8,13,0,2,2,9,0,1,4,5,13,4,1,10,1,6,19,7,6,5,2,4,1,11,1,1,1,5,5,3,4,4,3,6,2,0,20,1,0,0,1,0,0,7,6,7,0,0,0,0,3
고모리 요이치,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,3,0,0,0,0,0,0,1
루쉰,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
사에구사 도시카쓰,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
사카이 나오키,0,0,6,1,1,0,1,0,3,2,0,0,0,0,1,0,5,0,3,1,0,0,0,0,4,1,0,2,10,1,0,0,0,2,5,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,3,4,1,0,0,0,0,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,2
아리스토텔레스,1,2,2,1,0,1,1,0,1,4,0,0,2,1,0,0,7,3,0,0,2,1,0,7,0,7,0,1,3,2,3,0,2,0,2,4,4,1,1,3,1,0,1,0,0,3,1,0,1,0,5,0,3,0,1,2,0,0,0,8,3,1,1,0,1,2,3,2,4,2,0,2,2,2,0,0,2,1,2,1,0,0,1,0,0,4,0,0,6,0,0,0,0,0,1,0,0,0,7,2
아즈마 히로키,2,1,4,0,0,0,0,0,0,3,0,0,1,1,0,0,5,0,0,0,1,1,0,2,0,1,0,0,3,0,0,0,0,0,3,4,1,0,1,0,0,0,0,0,1,1,0,0,0,3,0,0,2,0,1,0,1,2,0,2,0,1,1,0,1,0,0,0,1,1,0,0,4,1,0,0,1,0,1,0,0,0,1,0,0,4,0,0,7,0,0,0,0,1,0,0,0,0,1,1
와다 하루키,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
요시미 순야,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
우에노 치즈코,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
플라톤,0,0,1,1,0,0,3,0,1,3,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,3,3,2,0,0,0,0,4,3,1,0,0,0,0,1,0,0,0,1,1,0,0,1,2,0,2,0,1,1,0,0,0,1,1,0,2,1,0,0,1,0,2,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,7,1,0,0,0,0,1
한나 아렌트,0,1,8,1,0,0,1,0,1,0,0,0,1,2,0,0,5,0,0,0,0,0,0,0,1,1,0,3,6,1,0,1,0,2,5,5,0,0,1,1,2,0,0,1,0,1,5,2,0,2,4,0,3,0,1,0,0,2,1,2,0,0,4,0,0,0,1,2,3,2,0,0,4,2,1,0,3,0,1,2,2,0,1,0,0,8,0,0,3,1,0,0,2,2,1,0,0,0,1,0
