,"Adorno, Theodor W.","Agamben, Giorgio","Arendt, Hannah",Aristoteles,"Atwood, Margaret","Austen, Jane","Bakhtin, Mikhail Mikhailovich","Barthes, Roland","Baudrillard, Jean","Beckett, Samuel","Benjamin, Walter","Bhabha, Homi K.","Bloom, Harold","Bourdieu, Pierre","Braidotti, Rosi","Brooks, Cleanth","Brooks, Peter","Brown, H. Douglas","Butler, Judith P.","Caruth, Cathy","Chomsky, Noam","Coetzee, J. M.","Coleridge, Samuel Taylor","Collins, Randall","Conrad, Joseph","De Man, Paul","DeLillo, Don","Defoe, Daniel","Deleuze, Gilles","Derrida, Jacques","Dickens, Charles","Dörnyei, Zoltán","Eagleton, Terry","Eliot, George","Eliot, Thomas Stearns","Ellmann, Richard","Emerson, Ralph Waldo","Fanon, Frantz","Faulkner, William","Fink, Bruce","Foucault, Michel","Freud, Sigmund","Frye, Northrop","Gardner, R. C.","Greenblatt, Stephen","Hall, Stuart","Haraway, Donna J.","Hardy, Thomas","Hawthorne, Nathaniel","Heaney, Seamus Justin","Heidegger, Martin","Hemingway, Ernest","Hutcheon, Linda","James, Henry","Jameson, Fredric","Jeffares, A. Norman","Joyce, James","Jung, Carl Gustav","Kant, Immanuel","Keats, John","Kenner, Hugh","Krashen, Stephen D.","Kristeva, Julia","Lacan, Jacques","Lakoff, George","Lawrence, David Herbert","Leavis, Frank Raymond","Lessing, Doris","Levinas, Emmanuel","Lukács, Georg","Marx, Karl","McCarthy, John J.","Melville, Herman","Milton, John","Moretti, Franco","Morrison, Toni","Nietzsche, Friedrich Wilhelm","Nussbaum, Martha Craven","Poe, Edgar Allan","Pound, Ezra","Quirk, Randolph","Rancière, Jacques","Rich, Adrienne","Richards, Jack C.","Said, Edward W.","Schmitt, Carl","Shakespeare, William","Shaw, George Bernard","Showalter, Elaine","Spivak, Gayatri Chakravorty","Steinbeck, John","Twain, Mark","Vendler, Helen","Whitman, Walt","Williams, Raymond","Williams, William Carlos","Woolf, Virginia","Wordsworth, William","Yeats, William Butler","Žižek, Slavoj"
"Ellmann, Richard",1,1,1,2,0,1,1,5,0,4,3,10,43,0,0,9,1,0,0,0,0,1,4,0,2,4,0,0,2,9,2,0,8,1,29,0,1,4,1,1,9,8,4,0,0,1,0,0,1,3,3,0,0,3,16,48,86,1,1,2,20,0,1,8,1,2,7,0,1,4,2,0,0,0,3,0,7,0,1,7,0,0,0,0,19,2,5,3,3,3,0,0,18,1,1,2,12,1,113,3
"Emerson, Ralph Waldo",4,1,0,1,0,0,9,1,1,0,1,2,9,0,0,1,0,0,3,0,0,0,2,0,0,2,0,1,5,4,3,0,1,2,5,1,0,0,2,0,4,2,4,0,0,0,0,1,7,0,3,0,0,4,3,0,1,1,5,0,0,0,2,4,0,4,2,0,0,2,4,0,6,2,0,0,4,0,1,1,0,0,1,2,3,0,1,1,0,1,0,3,1,9,3,2,2,4,0,3
"Fanon, Frantz",1,1,0,0,0,1,4,5,1,0,3,41,3,1,0,0,1,0,7,5,0,4,1,0,5,0,0,1,9,8,0,0,9,1,2,4,0,0,1,0,16,10,0,0,4,11,0,0,1,2,0,0,4,1,8,3,5,2,2,0,2,0,4,10,1,6,3,1,3,2,2,0,1,0,1,16,2,0,0,0,0,2,3,0,32,0,4,0,1,23,0,1,0,1,2,0,3,1,5,11
"Faulkner, William",2,3,1,2,0,0,4,2,0,0,2,3,1,1,0,42,5,2,7,1,0,0,2,0,2,2,0,0,8,9,0,0,1,0,2,1,2,1,0,3,11,13,1,0,0,0,0,0,2,0,4,6,1,0,1,0,4,2,3,1,0,0,6,11,2,4,0,0,3,0,1,0,2,1,0,6,6,0,2,0,0,1,2,2,3,0,3,0,1,2,4,2,0,1,1,0,2,1,2,6
"Fink, Bruce",0,1,0,1,0,0,2,2,1,2,0,0,6,0,0,1,6,0,5,12,0,0,3,0,1,2,0,1,4,11,1,0,5,1,0,1,0,0,3,0,4,43,0,0,2,0,0,2,1,0,1,0,0,1,1,0,1,1,4,1,0,0,4,72,0,3,1,0,1,0,3,0,0,0,1,1,2,0,1,0,0,1,2,0,2,0,7,0,2,2,0,0,0,0,1,0,2,2,0,52
"Foucault, Michel",10,10,3,7,4,3,20,17,4,1,20,30,10,14,8,2,4,0,39,9,1,2,7,1,2,6,1,5,46,41,12,1,18,5,14,9,4,16,11,4,0,37,5,0,17,10,4,3,3,1,11,1,9,6,16,1,17,0,11,4,0,0,22,31,2,9,8,1,7,5,13,0,3,2,6,7,17,3,4,0,0,4,6,0,33,4,22,2,24,18,1,1,1,2,19,0,10,10,6,22
"Freud, Sigmund",9,21,4,7,3,2,5,4,9,3,25,19,12,6,4,6,9,1,29,39,6,3,5,2,8,8,7,2,19,36,4,1,14,5,8,8,2,10,13,43,37,0,3,2,9,5,0,3,4,3,14,4,4,9,12,0,15,6,15,4,3,1,38,123,3,18,2,1,7,8,7,2,4,1,9,17,14,3,5,0,1,4,7,1,11,6,20,1,6,8,3,2,1,0,12,0,2,8,5,87
"Frye, Northrop",0,0,2,6,3,0,8,0,1,2,2,2,16,1,0,6,0,1,1,0,0,1,5,0,5,4,0,2,0,6,5,0,9,0,27,4,4,0,1,0,5,3,0,0,7,0,0,1,2,0,0,1,2,4,6,1,1,3,1,1,4,0,3,1,0,2,5,0,0,1,1,0,0,5,1,1,4,0,2,1,0,0,0,0,4,1,26,1,0,1,0,1,3,3,9,0,3,4,8,0
"Gardner, R. C.",0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,8,0,18,0,0,2,0,0,8,0,0,0,0,0,0,1,31,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Greenblatt, Stephen",0,3,0,3,0,0,1,4,1,0,3,1,5,1,0,5,1,0,5,0,0,0,5,1,1,0,0,1,3,11,0,0,5,1,4,0,0,4,0,2,17,9,7,0,0,2,0,2,0,1,3,0,4,0,5,0,0,0,1,0,0,0,6,6,0,1,3,0,1,1,3,0,0,5,1,2,1,0,0,0,0,0,2,0,10,1,50,1,1,1,0,0,0,2,2,1,0,2,0,4
